ASU_Acar ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
ASU.Acar.G.9401	ubiquitin-60s ribosomal protein l40	66	gi|297666551|ref|XP_002811586.1|PREDICTED: ubiquitin-like [Pongo abelii]	XP_002811586	9.81523E-22	94	102.834	54	51	
ASU.Acar.G.9406	olfactory receptor 5v1-like	85	gi|327260504|ref|XP_003215074.1|PREDICTED: olfactory receptor 5V1-like [Anolis carolinensis]	XP_003215074	1.0088E-34	92	145.976	84	78	
ASU.Acar.G.9688	sh2 domain-containing adapter protein b- partial	244	gi|345308218|ref|XP_001511627.2|PREDICTED: SH2 domain-containing adapter protein B-like, partial [Ornithorhynchus anatinus]	XP_001511627	4.18902E-12	97	72.7886	34	33	
ASU.Acar.G.9704	protein regulator of cytokinesis 1-like	198	gi|327277291|ref|XP_003223399.1|PREDICTED: protein regulator of cytokinesis 1-like [Anolis carolinensis]	XP_003223399	1.08628E-16	83	87.4261	55	46	
ASU.Acar.G.9711	PREDICTED: hypothetical protein LOC100497771 [Xenopus (Silurana) tropicalis]	110	gi|301629037|ref|XP_002943655.1|PREDICTED: hypothetical protein LOC100497771 [Xenopus (Silurana) tropicalis]	XP_002943655	4.94786E-10	55	63.929	83	46	
ASU.Acar.G.9785	line-1 type transposase domain-containing protein 1-like	181	gi|327274859|ref|XP_003222193.1|PREDICTED: hypothetical protein LOC100566687 [Anolis carolinensis]	XP_003222193	2.88426E-52	72	205.297	170	124	
ASU.Acar.G.9875	transcriptional adapter 2-alpha-like	263	gi|297303213|ref|XP_002806154.1|PREDICTED: hypothetical protein LOC100430013 [Macaca mulatta]	XP_002806154	1.06243E-19	49	98.2117	201	99	
ASU.Acar.G.9883	stress-70 mitochondrial-like	123	gi|327261026|ref|XP_003215333.1|PREDICTED: stress-70 protein, mitochondrial-like [Anolis carolinensis]	XP_003215333	5.62864E-46	91	183.341	105	96	
ASU.Acar.G.9884	coiled-coil domain-containing protein 45-like	663	gi|327279510|ref|XP_003224499.1|PREDICTED: coiled-coil domain-containing protein 45-like [Anolis carolinensis]	XP_003224499	8.57243E-160	65	565.459	481	314	
ASU.Acar.G.9887	phosphotidylinositol phosphatase ptprq-like	844	gi|327272836|ref|XP_003221190.1|PREDICTED: phosphotidylinositol phosphatase PTPRQ-like [Anolis carolinensis]	XP_003221190	2.83253E-110	53	401.364	578	310	
ASU.Acar.G.9905	phospholipid scramblase 1-like	81	gi|327269279|ref|XP_003219422.1|PREDICTED: phospholipid scramblase 1-like [Anolis carolinensis]	XP_003219422	7.06354E-28	90	123.25	71	64	
