ASU Unmapped Transcript ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
a525990	semaphorin-6d isoform 4	722	gi|327286663|ref|XP_003228049.1|PREDICTED: semaphorin-6D-like [Anolis carolinensis]	XP_003228049	9.01537E-37	100	154.836	74	74	
a526010	creb-regulated transcription coactivator 2	1222	gi|149751302|ref|XP_001495457.1|PREDICTED: CREB-regulated transcription coactivator 2 [Equus caballus]	XP_001495457	2.86385E-54	68	214.157	183	125	
a526011	creb-regulated transcription coactivator 2	753	gi|109016441|ref|XP_001112030.1|PREDICTED: CREB-regulated transcription coactivator 2-like [Macaca mulatta]	XP_001112030	4.51926E-10	94	66.2402	39	37	
a526022	f-box only protein 42	1425	gi|118101142|ref|XP_417619.2|PREDICTED: F-box only protein 42 [Gallus gallus]	XP_417619	6.12964E-115	70	416.001	414	291	
a526023	f-box only protein 42	568	gi|194207994|ref|XP_001488712.2|PREDICTED: f-box only protein 42 [Equus caballus]	XP_001488712	3.9009E-67	99	254.988	118	117	
a526025	transmembrane protein c6orf70 homolog	1652	gi|327262232|ref|XP_003215929.1|PREDICTED: transmembrane protein C6orf70-like [Anolis carolinensis]	XP_003215929	5.67517E-107	94	389.808	209	197	
a526029	muscleblind-like protein 2-like	1057	gi|254281229|ref|NP_001156853.1|muscleblind-like 2 [Taeniopygia guttata]	NP_001156853	4.83632E-52	100	206.453	113	113	
a526030	formin-binding protein 1	2318	gi|326930360|ref|XP_003211315.1|PREDICTED: formin-binding protein 1-like [Meleagris gallopavo]	XP_003211315	0.0	83	896.345	631	530	
a526032	beta-arrestin-2 isoform 2	823	gi|358422843|ref|XP_003585503.1|PREDICTED: beta-arrestin-2-like, partial [Bos taurus]	XP_003585503	4.71216E-51	88	202.601	137	121	
a52604	lipoma-preferred partner homolog	750	gi|327283121|ref|XP_003226290.1|PREDICTED: lipoma-preferred partner homolog isoform 3 [Anolis carolinensis]	XP_003226290	1.18497E-111	97	403.675	192	188	
a526043	nuclear pore complex protein nup88	2265	gi|327287214|ref|XP_003228324.1|PREDICTED: nuclear pore complex protein Nup88-like [Anolis carolinensis]	XP_003228324	0.0	99	695.656	354	353	
a526044	nuclear pore complex protein nup88	2189	gi|149724209|ref|XP_001504791.1|PREDICTED: nuclear pore complex protein Nup88 [Equus caballus]	XP_001504791	0.0	83	876.7	596	500	
a526045	nuclear pore complex protein nup88	2187	gi|327287214|ref|XP_003228324.1|PREDICTED: nuclear pore complex protein Nup88-like [Anolis carolinensis]	XP_003228324	0.0	99	695.656	354	353	
a526046	nuclear pore complex protein nup88	2117	gi|327287214|ref|XP_003228324.1|PREDICTED: nuclear pore complex protein Nup88-like [Anolis carolinensis]	XP_003228324	0.0	99	695.656	354	353	
a526047	nuclear pore complex protein nup88	2041	gi|149724209|ref|XP_001504791.1|PREDICTED: nuclear pore complex protein Nup88 [Equus caballus]	XP_001504791	0.0	83	860.907	568	474	
a526048	nuclear pore complex protein nup88	2039	gi|327287214|ref|XP_003228324.1|PREDICTED: nuclear pore complex protein Nup88-like [Anolis carolinensis]	XP_003228324	0.0	99	695.656	354	353	
a526049	nuclear pore complex protein nup88	1963	gi|149724209|ref|XP_001504791.1|PREDICTED: nuclear pore complex protein Nup88 [Equus caballus]	XP_001504791	0.0	87	873.618	542	473	
a526050	nuclear pore complex protein nup88	1050	gi|149724209|ref|XP_001504791.1|PREDICTED: nuclear pore complex protein Nup88 [Equus caballus]	XP_001504791	8.79747E-54	70	212.231	183	129	
a526051	nuclear pore complex protein nup88	974	gi|149724209|ref|XP_001504791.1|PREDICTED: nuclear pore complex protein Nup88 [Equus caballus]	XP_001504791	3.3704E-81	74	303.138	241	180	
a526052	nuclear pore complex protein nup88	972	gi|149724209|ref|XP_001504791.1|PREDICTED: nuclear pore complex protein Nup88 [Equus caballus]	XP_001504791	1.16067E-57	81	224.942	157	128	
a526053	nuclear pore complex protein nup88	902	gi|149724209|ref|XP_001504791.1|PREDICTED: nuclear pore complex protein Nup88 [Equus caballus]	XP_001504791	3.94456E-49	73	196.438	155	114	
a526054	nuclear pore complex protein nup88	826	gi|149724209|ref|XP_001504791.1|PREDICTED: nuclear pore complex protein Nup88 [Equus caballus]	XP_001504791	1.46423E-76	77	287.345	213	165	
a526055	nuclear pore complex protein nup88	824	gi|149724209|ref|XP_001504791.1|PREDICTED: nuclear pore complex protein Nup88 [Equus caballus]	XP_001504791	5.06763E-53	87	209.149	129	113	
a526056	nuclear pore complex protein nup88	748	gi|149724209|ref|XP_001504791.1|PREDICTED: nuclear pore complex protein Nup88 [Equus caballus]	XP_001504791	1.83089E-80	87	300.056	187	164	
a52606	ras-related protein rab-17-like	640	gi|327260890|ref|XP_003215266.1|PREDICTED: ras-related protein Rab-17-like [Anolis carolinensis]	XP_003215266	7.92031E-12	57	71.633	108	62	
a526067	rho guanine nucleotide exchange factor 1	1594	gi|301625566|ref|XP_002941974.1|PREDICTED: rho guanine nucleotide exchange factor 1 [Xenopus (Silurana) tropicalis]	XP_002941974	2.44368E-83	72	311.227	310	226	
a526068	rho guanine nucleotide exchange factor 1	449	gi|301625566|ref|XP_002941974.1|PREDICTED: rho guanine nucleotide exchange factor 1 [Xenopus (Silurana) tropicalis]	XP_002941974	8.48258E-5	65	46.9802	43	28	
a526070	coiled-coil domain-containing protein 47	1152	gi|326934001|ref|XP_003213085.1|PREDICTED: coiled-coil domain-containing protein 47-like [Meleagris gallopavo]	XP_003213085	1.66055E-165	98	583.563	314	308	
a52609	calmodulin-like protein 6-like	855	gi|296206505|ref|XP_002750243.1|PREDICTED: calmodulin-like protein 6-like [Callithrix jacchus]	XP_002750243	1.41418E-69	88	264.233	159	141	
a526096	annexin a4	815	gi|350536229|ref|NP_001232235.1|putative annexin A4 variant 2 [Taeniopygia guttata]	NP_001232235	1.24597E-104	90	380.563	236	214	
a526097	annexin a4	469	gi|148225228|ref|NP_001090460.1|annexin A7 [Xenopus laevis]	NP_001090460	3.63847E-4	59	45.0542	52	31	
a526101	transmembrane protein 161a-like	1328	gi|345320966|ref|XP_001512011.2|PREDICTED: transmembrane protein 161A-like [Ornithorhynchus anatinus]	XP_001512011	4.02604E-81	80	303.523	216	174	
a526102	transmembrane protein 161a-like	1308	gi|363743827|ref|XP_003642928.1|PREDICTED: transmembrane protein 161A-like [Gallus gallus]	XP_003642928	3.20564E-99	85	363.614	269	231	
a526104	upf0368 protein cxorf26-like	1286	gi|126304149|ref|XP_001381973.1|PREDICTED: UPF0368 protein Cxorf26-like [Monodelphis domestica]	XP_001381973	2.2052E-44	85	181.415	121	104	
a526114	phd finger protein 20-like 1 isoform 1	7496	gi|327281137|ref|XP_003225306.1|PREDICTED: hypothetical protein LOC100551555 [Anolis carolinensis]	XP_003225306	0.0	86	767.689	1131	982	
a526115	phd finger protein 20-like 1 isoform 1	7465	gi|86129462|ref|NP_001034368.1|PHD finger protein 20-like protein 1 [Gallus gallus]	NP_001034368	0.0	85	808.905	555	477	
a526116	phd finger protein 20-like 1 isoform 1	7448	gi|86129462|ref|NP_001034368.1|PHD finger protein 20-like protein 1 [Gallus gallus]	NP_001034368	0.0	85	808.905	555	477	
a526117	phd finger protein 20-like 1 isoform 1	7404	gi|327281137|ref|XP_003225306.1|PREDICTED: hypothetical protein LOC100551555 [Anolis carolinensis]	XP_003225306	0.0	86	767.689	1131	982	
a526118	phd finger protein 20-like 1 isoform 1	7402	gi|326918132|ref|XP_003205345.1|PREDICTED: PHD finger protein 20-like protein 1-like [Meleagris gallopavo]	XP_003205345	0.0	86	787.334	532	459	
a526119	phd finger protein 20-like 1 isoform 1	7385	gi|326918132|ref|XP_003205345.1|PREDICTED: PHD finger protein 20-like protein 1-like [Meleagris gallopavo]	XP_003205345	0.0	86	787.334	532	459	
a526120	phd finger protein 20-like 1 isoform 1	7356	gi|86129462|ref|NP_001034368.1|PHD finger protein 20-like protein 1 [Gallus gallus]	NP_001034368	0.0	90	808.52	514	466	
a52613	collagen alpha-2 chain precursor	2254	gi|58332412|ref|NP_001011005.1|uncharacterized protein LOC496414 precursor [Xenopus (Silurana) tropicalis]	NP_001011005	1.00325E-11	38	73.9442	339	131	
a526130	daz-associated protein 1	862	gi|71894833|ref|NP_001026599.1|DAZ-associated protein 1 [Gallus gallus]	NP_001026599	3.74975E-86	87	319.316	191	167	
a526135	thioredoxin domain-containing protein 11-like	692	gi|327287988|ref|XP_003228710.1|PREDICTED: thioredoxin domain-containing protein 11-like [Anolis carolinensis]	XP_003228710	6.55295E-34	100	145.206	70	70	
a526153	protein transport protein sec24b isoform 2	3879	gi|327274152|ref|XP_003221842.1|PREDICTED: protein transport protein Sec24B-like [Anolis carolinensis]	XP_003221842	0.0	100	1255.74	634	634	
a526154	ras-related protein rap-2c-like	1668	gi|327288732|ref|XP_003229080.1|PREDICTED: ras-related protein Rap-2c-like [Anolis carolinensis]	XP_003229080	7.69361E-19	100	97.0561	45	45	
a52616	histone-lysine n-methyltransferase setd1b	1769	gi|71897211|ref|NP_001025832.1|histone-lysine N-methyltransferase SETD1B [Gallus gallus]	NP_001025832	0.0	86	695.656	409	353	
a526167	heat repeat-containing protein 7b1	1729	gi|348577347|ref|XP_003474446.1|PREDICTED: HEAT repeat-containing protein 7B1 [Cavia porcellus]	XP_003474446	1.62282E-19	53	99.3673	166	89	
a526168	heat repeat-containing protein 7b1	1641	gi|345307024|ref|XP_003428525.1|PREDICTED: LOW QUALITY PROTEIN: HEAT repeat-containing protein 7B1-like [Ornithorhynchus anatinus]	XP_003428525	5.93991E-32	54	140.584	215	118	
a526169	heat repeat-containing protein 7b1	1635	gi|345307024|ref|XP_003428525.1|PREDICTED: LOW QUALITY PROTEIN: HEAT repeat-containing protein 7B1-like [Ornithorhynchus anatinus]	XP_003428525	5.91149E-32	54	140.584	215	118	
a52621	pol partial	793	gi|224167948|ref|XP_002189768.1|PREDICTED: similar to Pol polyprotein, partial [Taeniopygia guttata]	XP_002189768	1.03655E-7	58	58.5362	99	58	
a52624	zinc finger protein 420-like	448	gi|327266492|ref|XP_003218039.1|PREDICTED: zinc finger protein 420-like [Anolis carolinensis]	XP_003218039	1.68661E-74	87	278.485	148	130	
a526241	uhrf1-binding protein 1-like	514	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	3.82145E-38	70	158.303	170	120	
a52625	early growth response protein 3 isoform 2	401	gi|327266570|ref|XP_003218077.1|PREDICTED: zinc finger protein 850-like [Anolis carolinensis]	XP_003218077	2.32783E-40	80	164.851	103	83	
a52626	glucokinase	308	gi|348527122|ref|XP_003451068.1|PREDICTED: glucokinase [Oreochromis niloticus]	XP_003451068	1.15937E-31	95	135.961	73	70	
a526260	excitatory amino acid transporter 5-like	516	gi|118103100|ref|XP_425882.2|PREDICTED: excitatory amino acid transporter 5-like [Gallus gallus]	XP_425882	3.65757E-20	78	98.5969	78	61	
a52630	g-protein-signaling modulator 1-like	490	gi|363740493|ref|XP_415415.3|PREDICTED: G-protein-signaling modulator 1 [Gallus gallus]	XP_415415	6.54206E-34	61	144.05	172	105	
a526303	histone-lysine n-methyltransferase setmar	687	gi|327274190|ref|XP_003221861.1|PREDICTED: hypothetical protein LOC100567984 [Anolis carolinensis]	XP_003221861	6.55578E-10	60	65.4698	98	59	
a526307	secretory calcium-binding phosphoprotein 7 precursor	462	gi|348533508|ref|XP_003454247.1|PREDICTED: hypothetical protein LOC100709362 [Oreochromis niloticus]	XP_003454247	1.03013E-48	72	192.971	138	100	
a52633	PREDICTED: hypothetical protein LOC100563481 [Anolis carolinensis]	1397	gi|327279620|ref|XP_003224554.1|PREDICTED: hypothetical protein LOC100563481 [Anolis carolinensis]	XP_003224554	3.10795E-180	90	632.869	348	314	
a526331	PREDICTED: hypothetical protein LOC100562433 [Anolis carolinensis]	311	gi|327275147|ref|XP_003222335.1|PREDICTED: hypothetical protein LOC100562433 [Anolis carolinensis]	XP_003222335	2.42318E-13	100	75.0998	103	103	
a52637	low quality protein: hephaestin-like	746	gi|348543049|ref|XP_003458996.1|PREDICTED: ceruloplasmin [Oreochromis niloticus]	XP_003458996	5.11203E-107	98	388.267	188	185	
a52642	transducin-like enhancer protein 1 isoform 1	910	gi|147904445|ref|NP_001090448.1|transducin-like enhancer of split 1 (E(sp1) homolog) [Xenopus laevis]	NP_001090448	2.4754E-83	84	310.071	246	208	
a52644	transient receptor potential cation channel subfamily v member 1	679	gi|326931509|ref|XP_003211871.1|PREDICTED: transient receptor potential cation channel subfamily V member 1-like [Meleagris gallopavo]	XP_003211871	8.2135E-58	77	224.557	169	131	
a526509	complement c3-like	384	gi|153792045|ref|NP_001093490.1|complement component 3-like isoform 1 precursor [Danio rerio]	NP_001093490	2.53496E-26	65	118.242	132	87	
a52651	polyadenylate-binding protein 1	1378	gi|348529271|ref|XP_003452137.1|PREDICTED: polyadenylate-binding protein 1-like [Oreochromis niloticus]	XP_003452137	0.0	99	842.803	459	455	
a526529	ubiquitin-associated and sh3 domain-containing protein b	331	gi|109109046|ref|XP_001107573.1|PREDICTED: ubiquitin-associated and SH3 domain-containing protein B [Macaca mulatta]	XP_001107573	1.189E-4	60	46.2098	48	29	
a52654	heat shock protein hsp 90-alpha-like	499	gi|348517636|ref|XP_003446339.1|PREDICTED: heat shock protein HSP 90-beta-like [Oreochromis niloticus]	XP_003446339	2.37509E-50	100	198.749	116	116	
a52659	ethanolamine-phosphate cytidylyltransferase	502	gi|348536656|ref|XP_003455812.1|PREDICTED: ethanolamine-phosphate cytidylyltransferase-like [Oreochromis niloticus]	XP_003455812	5.88016E-97	100	353.599	167	167	
a52662	protein disulfide-isomerase a3 precursor	372	gi|348535980|ref|XP_003455475.1|PREDICTED: protein disulfide-isomerase A3 [Oreochromis niloticus]	XP_003455475	2.37653E-45	97	181.415	89	87	
a52664	solute carrier family facilitated glucose transporter member 11-like	358	gi|118098680|ref|XP_001232864.1|PREDICTED: uncharacterized protein LOC769577 [Gallus gallus]	XP_001232864	3.49663E-20	79	97.8265	73	58	
a52671	probable atp-dependent rna helicase ddx5	348	gi|348511217|ref|XP_003443141.1|PREDICTED: probable ATP-dependent RNA helicase DDX5-like [Oreochromis niloticus]	XP_003443141	5.44506E-13	94	73.9442	38	36	
a52674	coagulation factor x-like	438	gi|348540708|ref|XP_003457829.1|PREDICTED: coagulation factor X-like [Oreochromis niloticus]	XP_003457829	1.89369E-67	93	254.988	133	125	
a52678	synaptosomal-associated protein 29	312	gi|348527134|ref|XP_003451074.1|PREDICTED: synaptosomal-associated protein 29-like [Oreochromis niloticus]	XP_003451074	6.11939E-41	83	166.777	103	86	
a526787	rhabdoid tumor deletion region protein 1-like	573	gi|345322368|ref|XP_001511088.2|PREDICTED: rhabdoid tumor deletion region protein 1-like [Ornithorhynchus anatinus]	XP_001511088	5.03625E-30	85	131.724	83	71	
a52683	rna-directed dna polymerase from mobile element jockey-like	2168	gi|326680843|ref|XP_003201639.1|PREDICTED: hypothetical protein LOC100537186 [Danio rerio]	XP_003201639	1.48414E-12	44	76.6406	195	87	
a526831	fatty acid desaturase 2	341	gi|348505944|ref|XP_003440520.1|PREDICTED: fatty acid desaturase 2-like [Oreochromis niloticus]	XP_003440520	2.50598E-58	94	224.557	113	107	
a52685	zinc finger protein 850-like	2465	gi|327286614|ref|XP_003228025.1|PREDICTED: hypothetical protein LOC100566903 [Anolis carolinensis]	XP_003228025	0.0	77	776.933	518	403	
a52688	inter-alpha-trypsin inhibitor heavy chain h3-like	327	gi|348544635|ref|XP_003459786.1|PREDICTED: inter-alpha-trypsin inhibitor heavy chain H3-like [Oreochromis niloticus]	XP_003459786	2.36807E-53	100	207.994	108	108	
a526895	nucleoporin 210kda-like	318	gi|327288863|ref|XP_003229144.1|PREDICTED: nuclear pore membrane glycoprotein 210-like [Anolis carolinensis]	XP_003229144	2.57123E-23	85	108.227	84	72	
a526957	11-cis retinol dehydrogenase-like	436	gi|348506721|ref|XP_003440906.1|PREDICTED: retinol dehydrogenase 3-like [Oreochromis niloticus]	XP_003440906	1.96087E-77	99	288.115	144	143	
a52697	cullin-2 isoform 1	466	gi|348525550|ref|XP_003450285.1|PREDICTED: cullin-2-like [Oreochromis niloticus]	XP_003450285	5.80379E-39	96	160.614	88	85	
a52699	peptidyl-prolyl cis-trans isomerase mitochondrial-like	571	gi|348536098|ref|XP_003455534.1|PREDICTED: peptidyl-prolyl cis-trans isomerase-like [Oreochromis niloticus]	XP_003455534	1.16617E-79	96	296.59	148	143	
a52701	zinc finger and scan domain-containing protein 2-like	751	gi|327266612|ref|XP_003218098.1|PREDICTED: zinc finger protein 184-like [Anolis carolinensis]	XP_003218098	4.36141E-106	79	385.185	254	201	
a52703	rsb-66 protein	686	gi|344271254|ref|XP_003407455.1|PREDICTED: uncharacterized protein C9orf9-like [Loxodonta africana]	XP_003407455	6.21862E-77	92	288.115	164	151	
a527066	beta-arrestin-1 isoform b	377	gi|348530640|ref|XP_003452818.1|PREDICTED: S-arrestin-like [Oreochromis niloticus]	XP_003452818	1.09362E-58	100	225.713	125	125	
a52707	tlc domain-containing protein 1-like	3035	gi|50758230|ref|XP_415821.1|PREDICTED: TLC domain-containing protein 1 [Gallus gallus]	XP_415821	7.38534E-69	67	264.233	234	157	
a52708	craniofacial development protein 2-like	2194	gi|359063031|ref|XP_003585785.1|PREDICTED: craniofacial development protein 2-like [Bos taurus]	XP_003585785	2.83678E-11	49	72.4034	159	79	
a52717	zinc finger protein 91-like	944	gi|327266700|ref|XP_003218142.1|PREDICTED: zinc finger protein 91-like [Anolis carolinensis]	XP_003218142	2.71977E-96	81	353.214	220	180	
a52718	lysozyme c-like	613	gi|348505504|ref|XP_003440301.1|PREDICTED: lysozyme C-like [Oreochromis niloticus]	XP_003440301	2.95015E-82	97	305.449	144	140	
a527221	integrin alpha-10 isoform 1	377	gi|348521060|ref|XP_003448044.1|PREDICTED: integrin alpha-10-like [Oreochromis niloticus]	XP_003448044	2.68745E-65	96	247.669	125	121	
a527235	glutamate	302	gi|46195826|ref|NP_996862.1|glutamate [NMDA] receptor subunit zeta-1 precursor [Gallus gallus]	NP_996862	6.79605E-48	96	189.889	100	96	
a52725	40s ribosomal protein s11-like	325	gi|348509119|ref|XP_003442099.1|PREDICTED: 40S ribosomal protein S11-like [Oreochromis niloticus]	XP_003442099	5.64933E-55	99	213.386	105	104	
a52726	histone-lysine n-methyltransferase nsd3 isoform 2	819	gi|327284319|ref|XP_003226886.1|PREDICTED: histone-lysine N-methyltransferase NSD3-like [Anolis carolinensis]	XP_003226886	2.08671E-75	100	283.493	135	135	
a52730	small conductance calcium-activated potassium channel protein 3	871	gi|118404916|ref|NP_001072484.1|potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1 [Xenopus (Silurana) tropicalis]	NP_001072484	1.61152E-68	100	260.766	129	129	
a52734	apolipoprotein b-100	425	gi|348517809|ref|XP_003446425.1|PREDICTED: apolipoprotein B-100-like [Oreochromis niloticus]	XP_003446425	2.05026E-68	96	258.07	141	136	
a52736	neurobeachin	416	gi|356460962|ref|NP_001239069.1|neurobeachin [Gallus gallus]	NP_001239069	1.53182E-60	99	231.876	121	120	
a52739	long-chain-fatty-acid-- ligase acsbg1	593	gi|118095605|ref|XP_413747.2|PREDICTED: long-chain-fatty-acid--CoA ligase ACSBG1 [Gallus gallus]	XP_413747	2.07065E-69	84	262.692	183	155	
a52743	type i cytoskeletal 13-like	1009	gi|185133615|ref|NP_001117826.1|type I keratin S8 [Oncorhynchus mykiss]	NP_001117826	6.00766E-113	91	408.683	248	226	
a52746	adenosylhomocysteinase b	415	gi|348521812|ref|XP_003448420.1|PREDICTED: adenosylhomocysteinase B-like [Oreochromis niloticus]	XP_003448420	9.59593E-71	92	265.774	137	127	
a52747	sodium hydrogen exchanger 2-like	2200	gi|301616361|ref|XP_002937628.1|PREDICTED: hypothetical protein LOC100496475 [Xenopus (Silurana) tropicalis]	XP_002937628	6.39638E-96	54	353.599	659	358	
a52754	antithrombin-iii precursor	804	gi|348522626|ref|XP_003448825.1|PREDICTED: antithrombin-III-like [Oreochromis niloticus]	XP_003448825	1.53781E-123	81	443.351	307	251	
a52755	cytosolic sulfotransferase 3-like	373	gi|348502677|ref|XP_003438894.1|PREDICTED: cytosolic sulfotransferase 3-like [Oreochromis niloticus]	XP_003438894	3.3085E-55	96	214.157	109	105	
a52758	son of sevenless homolog 2	1850	gi|326921277|ref|XP_003206888.1|PREDICTED: son of sevenless homolog 2-like [Meleagris gallopavo]	XP_003206888	1.8841E-21	70	105.916	112	79	
a52759	kinesin-like protein kif3c	1938	gi|363732541|ref|XP_426988.3|PREDICTED: kinesin-like protein KIF3C-like [Gallus gallus]	XP_426988	2.77764E-148	73	527.324	596	437	
a5276	PREDICTED: hypothetical protein LOC100762525 [Cricetulus griseus]	2620	gi|354483384|ref|XP_003503874.1|PREDICTED: hypothetical protein LOC100762525 [Cricetulus griseus]	XP_003503874	1.97636E-6	48	56.6102	282	138	
a527615	cytochrome heme mitochondrial-like	306	gi|348521806|ref|XP_003448417.1|PREDICTED: cytochrome c1, heme protein, mitochondrial-like isoform 1 [Oreochromis niloticus]	XP_003448417	7.47961E-55	99	213.001	101	100	
a527618	riboflavin transporter 2-like	307	gi|50345024|ref|NP_001002182.1|riboflavin transporter 2-B [Danio rerio]	NP_001002182	1.6252E-25	82	115.546	78	64	
a52762	complement c2 precursor	684	gi|348523656|ref|XP_003449339.1|PREDICTED: complement C2-like [Oreochromis niloticus]	XP_003449339	4.81504E-122	97	437.958	223	218	
a52763	coagulation factor x-like	403	gi|348540706|ref|XP_003457828.1|PREDICTED: coagulation factor X-like [Oreochromis niloticus]	XP_003457828	4.5011E-68	93	256.914	134	125	
a52765	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1-like	313	gi|348510534|ref|XP_003442800.1|PREDICTED: dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1-like [Oreochromis niloticus]	XP_003442800	5.33604E-53	98	206.838	104	102	
a52768	3-hydroxy-3-methylglutaryl-coenzyme a reductase	470	gi|348500196|ref|XP_003437659.1|PREDICTED: 3-hydroxy-3-methylglutaryl-coenzyme A reductase-like isoform 2 [Oreochromis niloticus]	XP_003437659	4.61243E-71	99	267.314	149	148	
a52769	rap1 gtpase-activating protein 1-like	866	gi|224809578|ref|NP_001139130.1|rap1 GTPase-activating protein 1 isoform a [Homo sapiens]	NP_001139130	9.91814E-111	91	400.979	224	205	
a527696	alpha-2-macroglobulin-like protein 1-like	486	gi|348540367|ref|XP_003457659.1|PREDICTED: alpha-2-macroglobulin-like [Oreochromis niloticus]	XP_003457659	1.27935E-66	84	252.677	164	138	
a52772	secretogranin-2 precursor	358	gi|348500849|ref|XP_003437984.1|PREDICTED: secretogranin-2-like [Oreochromis niloticus]	XP_003437984	5.01412E-43	95	173.711	121	115	
a52773	delta-1-pyrroline-5-carboxylate mitochondrial	325	gi|348540537|ref|XP_003457744.1|PREDICTED: delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial-like [Oreochromis niloticus]	XP_003457744	9.63631E-55	97	212.616	108	105	
a52774	tektin-1	455	gi|332251013|ref|XP_003274641.1|PREDICTED: tektin-1 [Nomascus leucogenys]	XP_003274641	1.24306E-14	80	79.7221	63	51	
a527747	zinc finger protein 414-like	718	gi|363743713|ref|XP_423528.3|PREDICTED: zinc finger protein 414 [Gallus gallus]	XP_423528	3.38488E-20	88	99.7525	53	47	
a527761	death domain-containing protein cradd-like	614	gi|327272708|ref|XP_003221126.1|PREDICTED: death domain-containing protein CRADD-like [Anolis carolinensis]	XP_003221126	2.94482E-13	60	76.2554	104	63	
a527793	receptor-type tyrosine-protein phosphatase s	1709	gi|326934566|ref|XP_003213359.1|PREDICTED: receptor-type tyrosine-protein phosphatase S-like [Meleagris gallopavo]	XP_003213359	9.8211E-94	100	345.895	165	165	
a527810	uhrf1-binding protein 1-like	665	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	6.78701E-9	49	62.003	161	80	
a52782	histone -like	300	gi|348566270|ref|XP_003468925.1|PREDICTED: histone H3.1-like [Cavia porcellus]	XP_003468925	1.12795E-34	98	145.976	76	75	
a52784	beta-crystallin a3-like	324	gi|348514189|ref|XP_003444623.1|PREDICTED: beta-crystallin A3-like [Oreochromis niloticus]	XP_003444623	8.99841E-61	100	232.646	108	108	
a52785	denn domain-containing protein 2c	1657	gi|327271548|ref|XP_003220549.1|PREDICTED: DENN domain-containing protein 2C-like [Anolis carolinensis]	XP_003220549	3.05697E-177	94	623.239	346	326	
a52786	denn domain-containing protein 2c-like	650	gi|327272282|ref|XP_003220914.1|PREDICTED: DENN domain-containing protein 2A-like [Anolis carolinensis]	XP_003220914	1.01436E-62	86	240.736	153	133	
a527865	adp atp translocase 3-like	417	gi|54020693|ref|NP_989562.2|adenine nucleotide translocator 3 [Gallus gallus]	NP_989562	4.98516E-19	100	93.9745	43	43	
a527885	inter-alpha-trypsin inhibitor heavy chain h3-like	508	gi|348534298|ref|XP_003454639.1|PREDICTED: hypothetical protein LOC100703377 [Oreochromis niloticus]	XP_003454639	6.23076E-25	75	114.39	93	70	
a52789	kelch-like protein 23-like	417	gi|363743640|ref|XP_425879.3|PREDICTED: kelch-like protein 23-like [Gallus gallus]	XP_425879	1.27361E-6	58	52.7582	68	40	
a527942	tripartite motif-containing protein 7-like	1204	gi|301626981|ref|XP_002942660.1|PREDICTED: tripartite motif-containing protein 7-like [Xenopus (Silurana) tropicalis]	XP_002942660	2.31949E-16	52	88.1965	173	90	
a527969	homeobox protein hox-b5	559	gi|327275818|ref|XP_003222669.1|PREDICTED: homeobox protein Hox-B7-like [Anolis carolinensis]	XP_003222669	7.1202E-34	93	144.436	74	69	
a52798	coiled-coil domain-containing protein 148-like	471	gi|348519890|ref|XP_003447462.1|PREDICTED: coiled-coil domain-containing protein 148-like [Oreochromis niloticus]	XP_003447462	5.30184E-51	97	200.675	140	136	
a527981	tyrosine-protein phosphatase non-receptor type 9	619	gi|345317273|ref|XP_001505361.2|PREDICTED: tyrosine-protein phosphatase non-receptor type 9-like, partial [Ornithorhynchus anatinus]	XP_001505361	1.2313E-67	93	256.914	140	131	
a527986	aminoglycoside phosphotransferase domain-containing protein 1-like	593	gi|224061700|ref|XP_002193476.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002193476	6.90912E-57	82	221.09	146	121	
a52800	zinc finger protein 436	1426	gi|327266468|ref|XP_003218027.1|PREDICTED: zinc finger protein 585B-like [Anolis carolinensis]	XP_003218027	3.71872E-112	63	406.757	417	264	
a528003	zinc finger protein 91-like	316	gi|327286610|ref|XP_003228023.1|PREDICTED: hypothetical protein LOC100566517 [Anolis carolinensis]	XP_003228023	3.93916E-56	93	217.238	105	98	
a528064	argininosuccinate lyase	528	gi|224076289|ref|XP_002196571.1|PREDICTED: similar to Argininosuccinate lyase [Taeniopygia guttata]	XP_002196571	5.46187E-22	92	104.76	69	64	
a528069	solute carrier family 23 member 2	503	gi|326932654|ref|XP_003212429.1|PREDICTED: solute carrier family 23 member 2-like [Meleagris gallopavo]	XP_003212429	3.84956E-11	87	68.5514	39	34	
a528099	casein kinase i isoform gamma-3-like	329	gi|327276615|ref|XP_003223065.1|PREDICTED: casein kinase I isoform gamma-3-like [Anolis carolinensis]	XP_003223065	6.3046E-6	61	50.447	60	37	
